week,ydstogo,yardline_100,posteam_timeouts_remaining,defteam_timeouts_remaining,score_diff,converted,down1_pct,down2_pct,down3_pct,successes,failures,prep_days,rush,dome,KICKOFF,PUNT,home,random_var,minutes_remaining
2,2,56,3,3,-10,1,45.2,41.7,30.8,2,1,7,1,0,1,0,0,0.812832506467916,16.25
2,10,54,3,3,-10,0,45.2,41.7,30.8,2,1,7,0,0,1,0,0,-0.0795299017302643,15.766666666666667
2,10,80,3,3,10,0,52,47.8,31.2,2,3,7,0,0,0,1,1,1.55008727032318,14.533333333333333
2,10,84,3,3,-10,0,45.2,41.7,30.8,2,1,7,0,0,0,1,0,-1.73173318500185,12.733333333333333
2,9,64,3,3,10,0,52,47.8,31.2,2,3,7,0,0,0,1,1,-1.27998201523134,11.033333333333333
2,10,54,3,3,-10,1,45.2,41.7,30.8,2,1,7,0,0,0,1,0,0.489436417914688,7.35
2,5,70,3,3,3,1,52,47.8,31.2,2,3,7,0,0,1,0,1,0.778182302645908,5.516666666666667
2,17,53,3,2,3,0,52,47.8,31.2,2,3,7,0,0,1,0,1,0.254479577039006,2.716666666666667
2,19,84,1,3,-10,0,45.2,41.7,30.8,2,1,7,0,0,1,0,0,0.407361107147517,1.2833333333333334
2,1,66,2,3,-7,1,70.6,45.8,35.7,2,5,8,0,0,1,0,0,-0.228193551185001,58.56666666666667
2,8,25,2,3,-7,0,70.6,45.8,35.7,2,5,8,0,0,1,0,0,0.588851787637969,53.916666666666664
2,3,84,3,2,4,0,13,21.1,20,0,3,8,0,0,1,0,1,-1.70694927165506,53.2
2,16,25,2,3,-4,0,70.6,45.8,35.7,2,5,8,0,0,0,0,0,-2.38965121790069,51.78333333333333
2,18,75,3,2,4,0,13,21.1,20,0,3,8,0,0,0,0,1,1.98750865514335,50.13333333333333
2,4,89,2,3,-4,1,70.6,45.8,35.7,2,5,8,0,0,0,1,0,1.18640325528117,47.93333333333333
2,1,43,2,3,-4,0,70.6,45.8,35.7,2,5,8,0,0,0,1,0,-0.0532069667468718,45.53333333333333
2,3,68,3,2,-4,1,13,21.1,20,0,3,8,0,0,1,0,1,-1.28345162296642,42.78333333333333
2,12,40,3,2,-4,0,13,21.1,20,0,3,8,0,0,1,0,1,0.325632189866088,41.56666666666667
2,12,93,2,3,4,0,70.6,45.8,35.7,2,5,8,0,0,0,1,0,-0.209587630373254,40.85
2,5,34,3,2,-4,0,13,21.1,20,0,3,8,0,0,0,1,1,0.707108503347242,39.3
2,7,72,2,3,1,0,70.6,45.8,35.7,2,5,8,0,0,1,0,0,-1.10242549507126,37.916666666666664
2,10,82,3,2,-1,1,13,21.1,20,0,3,8,0,0,0,1,1,1.79318148093063,36.983333333333334
2,11,76,2,3,-5,0,70.6,45.8,35.7,2,5,8,0,0,1,0,0,-1.05167817919908,35.36666666666667
2,8,51,3,2,5,1,13,21.1,20,0,3,8,0,0,0,1,1,-3.02250722194079,33.81666666666667
2,10,41,3,2,5,0,13,21.1,20,0,3,8,0,0,0,1,1,-0.13362997002815,33
2,7,30,2,3,-5,0,70.6,45.8,35.7,2,5,8,0,0,0,1,0,2.05932503089063,31.05
2,10,75,3,3,2,1,13,21.1,20,0,3,8,0,0,1,0,1,1.13776664271551,29.783333333333335
2,2,31,3,3,2,0,13,21.1,20,0,3,8,0,0,1,0,1,-1.23673616593594,26.916666666666668
2,16,58,3,3,-3,0,13,21.1,20,0,3,8,0,0,1,0,1,1.80541110849291,23.35
2,3,56,3,3,3,1,70.6,45.8,35.7,2,5,8,0,0,0,1,0,-0.679017067914986,20.85
2,25,66,3,3,3,0,70.6,45.8,35.7,2,5,8,0,0,0,1,0,0.473063945442551,19.85
