week,attempt,ydstogo,yardline_100,minutes_remaining,posteam_timeouts_remaining,defteam_timeouts_remaining,score_diff,down1_pct,down2_pct,down3_pct,successes,failures,prep_days,dome,KICKOFF,PUNT,home,random_var
2,1,1,26,30.5,1,2,-7,68.2,53.3,20,2,3,7,0,1,0,1,-0.192671593102787
2,0,15,80,29.6166666666667,3,3,-1,68.2,53.3,20,2,3,7,0,1,0,1,1.21811648958299
2,0,13,15,18.2,3,3,-8,68.2,53.3,20,2,3,7,0,1,0,1,0.196612131465069
2,1,4,6,11.9,3,2,-12,68.2,53.3,20,2,3,7,0,1,0,1,1.10282058618905
2,0,8,73,11.05,2,3,5,60.9,52.6,43.8,0,2,7,0,1,0,0,-1.23991291918266
2,0,7,21,8.21666666666667,3,2,-5,68.2,53.3,20,2,3,7,0,0,1,1,-0.0698382755258508
2,1,1,66,6.3,2,3,2,60.9,52.6,43.8,0,2,7,0,1,0,0,2.3134978453381
2,0,5,70,6.3,2,3,2,60.9,52.6,43.8,0,2,7,0,1,0,0,1.73899976312584
2,1,1,23,2.13333333333333,2,2,-2,68.2,53.3,20,2,3,7,0,0,1,1,-1.2300614735577
2,0,1,7,1.01666666666667,1,0,-2,68.2,53.3,20,2,3,7,0,0,1,1,-1.16200501457414
2,1,10,75,0.7,0,1,-1,60.9,52.6,43.8,0,2,7,0,1,0,0,0.843538596850676
2,1,1,14,50.0666666666667,3,3,-14,50,27.3,11.8,2,6,7,0,1,0,1,0.595409605688799
2,0,7,72,47.3166666666667,3,3,7,55.2,17.4,25,1,5,7,0,1,0,0,-0.29895113210146
2,0,16,72,45.7666666666667,3,3,-7,50,27.3,11.8,2,6,7,0,0,1,1,1.26541517298968
2,0,14,72,44.05,3,3,7,55.2,17.4,25,1,5,7,0,0,1,0,-0.550291243637956
2,0,8,60,42.8666666666667,3,3,-7,50,27.3,11.8,2,6,7,0,0,1,1,-1.5016765030934
2,0,5,11,34.4666666666667,3,3,-14,50,27.3,11.8,2,6,7,0,1,0,1,0.419564386429689
2,1,1,49,26.6333333333333,3,3,-18,50,27.3,11.8,2,6,7,0,1,0,1,1.62699828332244
2,0,17,51,24.2833333333333,3,3,-18,50,27.3,11.8,2,6,7,0,1,0,1,0.623696579327568
2,0,1,24,20.9,2,3,18,55.2,17.4,25,1,5,7,0,0,1,0,0.419982055085215
2,0,18,18,13.4666666666667,3,2,-21,50,27.3,11.8,2,6,7,0,1,0,1,-0.268835811340336
2,0,2,67,11.6666666666667,2,3,18,55.2,17.4,25,1,5,7,0,1,0,0,1.57292365697683
2,0,1,53,6.11666666666667,2,2,11,55.2,17.4,25,1,5,7,0,1,0,0,2.11074209642084
2,1,3,81,4.73333333333333,2,2,-11,50,27.3,11.8,2,6,7,0,0,1,1,0.219224394730586
2,1,13,28,2.73333333333333,1,2,-11,50,27.3,11.8,2,6,7,0,0,1,1,-0.877392625598168
2,0,18,33,2.73333333333333,1,2,-11,50,27.3,11.8,2,6,7,0,0,1,1,1.1576907551636
2,0,3,52,1.23333333333333,1,0,11,55.2,17.4,25,1,5,7,0,0,0,0,-0.779654813079073
2,0,10,46,55.9833333333333,3,3,0,54.8,50,41.7,1,4,7,0,1,0,1,-0.650345184787814
2,0,1,81,54.4,3,3,0,36,50,21.4,2,6,10,0,0,1,0,-0.636860080571239
2,0,5,64,53.9666666666667,3,3,0,54.8,50,41.7,1,4,7,0,0,1,1,-0.239858181975129
2,0,9,37,49.4,3,3,0,36,50,21.4,2,6,10,0,0,1,0,-0.0195476573620924
2,0,1,66,45,3,3,0,54.8,50,41.7,1,4,7,0,0,1,1,1.79881179986715
2,0,7,14,43.05,3,3,0,54.8,50,41.7,1,4,7,0,0,0,1,1.81487932982341
2,1,5,45,34.1666666666667,2,3,3,54.8,50,41.7,1,4,7,0,0,0,1,-0.57406764732886
2,1,2,42,32,3,2,-3,36,50,21.4,2,6,10,0,0,0,0,0.831467335712772
2,0,10,62,23.6166666666667,3,3,-8,54.8,50,41.7,1,4,7,0,1,0,1,-0.31432515330194
2,0,11,78,19.9333333333333,3,3,8,36,50,21.4,2,6,10,0,0,1,0,-0.153303616539816
2,0,14,69,18.8833333333333,3,3,-8,54.8,50,41.7,1,4,7,0,0,1,1,1.13652434108904
2,0,16,83,17.2,3,3,8,36,50,21.4,2,6,10,0,0,1,0,-0.317041001703371
2,0,4,4,13.8,3,3,-8,54.8,50,41.7,1,4,7,0,0,1,1,-0.389175717266705
2,1,1,30,10.4,3,3,5,36,50,21.4,2,6,10,0,1,0,0,0.215653896626394
2,0,20,20,8.25,3,3,5,36,50,21.4,2,6,10,0,1,0,0,0.491092689011981
2,1,12,16,4.38333333333333,3,3,-8,54.8,50,41.7,1,4,7,0,1,0,1,-1.77957474000239
2,0,10,75,58.5166666666667,3,3,0,57.1,52,46.7,0,0,7,0,1,0,0,-1.41581224858439
2,1,4,46,53.2333333333333,3,3,0,37,55,8.3,1,1,7,0,0,1,1,-0.0460707273214775
2,1,2,27,49.8666666666667,3,3,0,57.1,52,46.7,0,0,7,0,0,0,0,-0.312243352956458
2,0,9,9,48.8166666666667,3,3,0,57.1,52,46.7,0,0,7,0,0,0,0,-0.00478614536750934
2,0,18,83,46.9166666666667,3,3,-3,37,55,8.3,1,1,7,0,1,0,1,0.59002913164134
2,0,1,44,44.2166666666667,3,3,3,57.1,52,46.7,0,0,7,0,0,1,0,-1.46071074532082
2,0,22,97,42.0333333333333,3,3,-3,37,55,8.3,1,1,7,0,0,1,1,1.23381802829453
2,1,1,38,40.2166666666667,3,3,3,57.1,52,46.7,0,0,7,0,0,1,0,-1.13722765891835
2,1,4,8,38.4,2,3,3,57.1,52,46.7,0,0,7,0,0,1,0,-1.07712608318997
2,0,7,12,34.45,2,3,4,57.1,52,46.7,0,0,7,0,1,0,0,0.784543037002473
2,0,3,15,30.05,1,1,-7,37,55,8.3,1,1,7,0,1,0,1,0.116583224047702
2,0,15,58,22.1333333333333,3,3,-3,57.1,52,46.7,0,0,7,0,1,0,0,-2.20227940351469
2,0,20,63,17.8166666666667,3,3,3,37,55,8.3,1,1,7,0,0,1,1,0.195922724575422
2,0,7,72,12.6166666666667,3,3,-4,37,55,8.3,1,1,7,0,1,0,1,-0.421311607069511
2,0,2,58,11.15,3,3,4,57.1,52,46.7,0,0,7,0,0,1,0,1.01568770570761
2,0,10,86,8.96666666666667,3,3,-4,37,55,8.3,1,1,7,0,0,1,1,0.0698154105477159
2,0,7,47,6.13333333333333,3,3,4,57.1,52,46.7,0,0,7,0,0,1,0,0.564613237300659
2,0,11,15,0.05,1,2,-3,57.1,52,46.7,0,0,7,0,1,0,0,-0.626540592257482
2,0,10,75,9.71666666666667,2,2,0,57.1,52,46.7,0,0,7,0,1,0,0,-0.614922713816868
2,0,5,70,55.4833333333333,3,3,-7,35.7,30.8,30.8,3,0,6,0,1,0,1,-0.598696847189381
2,1,1,6,50.15,3,3,-7,35.7,30.8,30.8,3,0,6,0,0,0,1,-2.10510390098808
2,0,5,64,48.3833333333333,3,3,0,52.2,52.9,40,1,0,7,0,1,0,0,1.53876046844899
2,0,12,29,36.8833333333333,3,3,-7,52.2,52.9,40,1,0,7,0,1,0,0,-0.293315672190737
2,1,1,1,33.0166666666667,3,2,4,35.7,30.8,30.8,3,0,6,0,1,0,1,0.260346930942594
2,0,3,91,31.9166666666667,2,3,-4,52.2,52.9,40,1,0,7,0,0,0,0,-1.23958934502631
2,1,1,12,23.7,3,3,11,35.7,30.8,30.8,3,0,6,0,1,0,1,1.11794000601302
2,1,2,2,21.1,2,3,11,35.7,30.8,30.8,3,0,6,0,1,0,1,0.531460339212142
2,0,8,11,15,1,3,18,35.7,30.8,30.8,3,0,6,0,0,0,1,0.728901891844979
2,0,3,58,12.883333333333301,3,1,-21,52.2,52.9,40,1,0,7,0,1,0,0,2.46697775208035
2,0,21,54,55.35,3,3,0,42.4,20,18.8,1,1,7,0,1,0,1,-0.429689464966344
2,0,4,4,48.0666666666667,3,3,0,39.4,21.1,10,1,6,7,0,0,1,0,-0.995606570534652
2,0,10,65,36.9,3,2,-10,42.4,20,18.8,1,1,7,0,1,0,1,0.547259322556987
2,0,7,81,35.85,2,3,10,39.4,21.1,10,1,6,7,0,0,1,0,1.33388159657618
2,0,9,31,31.8833333333333,3,1,-10,42.4,20,18.8,1,1,7,0,0,1,1,-0.554748606891405
2,0,14,79,28.0333333333333,3,3,14,39.4,21.1,10,1,6,7,0,1,0,0,-1.35352518032048
2,0,5,46,25.0333333333333,3,3,-14,42.4,20,18.8,1,1,7,0,0,1,1,-0.147439902514399
2,0,11,31,18.65,3,3,14,39.4,21.1,10,1,6,7,0,0,1,0,0.177649350287314
2,1,1,24,16.4333333333333,2,3,-14,42.4,20,18.8,1,1,7,0,0,0,1,-0.133748683622184
2,0,7,94,15,3,2,14,39.4,21.1,10,1,6,7,0,0,0,0,-0.0627665834203125
2,0,20,96,9.05,2,3,-7,42.4,20,18.8,1,1,7,0,0,0,1,0.246997248133025
2,0,3,37,2.31666666666667,2,1,7,39.4,21.1,10,1,6,7,0,1,0,0,-0.412925087097724
2,1,4,33,1,0,2,-7,42.4,20,18.8,1,1,7,0,0,0,1,1.5260787402758
